File Path,Version,Revision,doc,docType,docTitle,docVariantSubtitle,docVariantLetter
CF1RENV02E.xsd,2022.0.000,CF1RENV02E,CF1RENV02E,CERTIFICATE OF COMPLIANCE,Area Weighted Average Calculation Worksheet,N/A,N/A
CF1RENV03E.xsd,2022.0.000,CF1RENV03E,CF1RENV03E,CERTIFICATE OF COMPLIANCE,Solar Heat Gain Coefficient (SHGC) Worksheet,N/A,N/A
CF1RENV04E.xsd,2022.0.000,CF1RENV04E,CF1RENV04E,CERTIFICATE OF COMPLIANCE,Solar Reflectance Index Calculation Worksheet,N/A,N/A
CF1RENV05E.xsd,2022.0.000,CF1RENV05E,CF1RENV05E,CERTIFICATE OF COMPLIANCE,Alternative Default Fenestration Procedure (NA6) Worksheet,N/A,N/A
CF1RENV06E.xsd,2022.0.000,CF1RENV06E,CF1RENV06E,CERTIFICATE OF COMPLIANCE,Interior and Exterior Insulation Layers Worksheet,N/A,N/A
CF1RPLB01E.xsd,2022.0.000,CF1RPLB01E,CF1RPLB01E,CERTIFICATE OF COMPLIANCE,Hydronic Heating System Worksheet,N/A,N/A
CF1RSTH01E.xsd,2022.0.000,CF1RSTH01E,CF1RSTH01E,CERTIFICATE OF COMPLIANCE,OG 100 Solar Water Heating Worksheet,N/A,N/A
CF2RELC01E.xsd,2022.0.000,CF2RELC01E,CF2RELC01E,CERTIFICATE OF INSTALLATION,Electric Ready Requirements,N/A,N/A
CF2RENV01E.xsd,2022.0.000,CF2RENV01E,CF2RENV01E,CERTIFICATE OF INSTALLATION,Fenestration Installation,N/A,N/A
CF2RENV03E.xsd,2022.0.000,CF2RENV03E,CF2RENV03E,CERTIFICATE OF INSTALLATION,Insulation Installation,N/A,N/A
CF2RENV04E.xsd,2022.0.000,CF2RENV04E,CF2RENV04E,CERTIFICATE OF INSTALLATION,Roofing-Ventilation-Radiant Barrier,N/A,N/A
CF2RENV20aH.xsd,2022.0.000,CF2RENV20aH,CF2RENV20aH,CERTIFICATE OF INSTALLATION,Building Air Leakage Diagnostic Test - Building Enclosures and Dwelling Unit Enclosures,ENV20a Single Point Air Tightness Test With Manual Meter,a
CF2RENV20bH.xsd,2022.0.000,CF2RENV20bH,CF2RENV20bH,CERTIFICATE OF INSTALLATION,Building Air Leakage Diagnostic Test - Building Enclosures and Dwelling Unit Enclosures,ENV20b Single Point Air Tightness Test With Automatic Meter,b
CF2RENV21H.xsd,2022.0.000,CF2RENV21H,CF2RENV21H,CERTIFICATE OF INSTALLATION,QII - Air Infiltration Sealing - Framing Stage,N/A,N/A
CF2RENV22H.xsd,2022.0.000,CF2RENV22H,CF2RENV22H,CERTIFICATE OF INSTALLATION,QII - Insulation Installation,N/A,N/A
CF2RMCH02E.xsd,2022.0.000,CF2RMCH02E,CF2RMCH02E,CERTIFICATE OF INSTALLATION,Whole House Fan,N/A,N/A
CF2RMCH04E.xsd,2022.0.000,CF2RMCH04E,CF2RMCH04E,CERTIFICATE OF INSTALLATION,Evaporative Coolers,N/A,N/A
